ID;freq
bagongshan;1
baolingshan;1
boshang;1
funan;1
hexi;2
hvd_110003;1
hvd_110173;2
hvd_110177;1
hvd_110180;1
hvd_110181;1
hvd_110423;1
hvd_110793;2
hvd_110817;3
hvd_110836;2
hvd_110962;1
hvd_110963;1
hvd_111019;1
hvd_111029;2
hvd_111036;2
hvd_111052;1
hvd_111059;1
hvd_112802;2
hvd_112822;1
hvd_112972;1
hvd_113322;1
hvd_113523;5
hvd_113524;2
hvd_113540;1
hvd_115234;2
hvd_115435;1
hvd_115519;1
hvd_115689;1
hvd_115915;2
hvd_115968;1
hvd_116076;1
hvd_116101;1
hvd_116149;2
hvd_32054;1
hvd_32069;1
hvd_32265;1
hvd_32267;1
hvd_32358;1
hvd_32472;1
hvd_32583;1
hvd_32839;1
hvd_32878;1
hvd_32946;1
hvd_33402;1
hvd_33480;1
hvd_34083;1
hvd_34093;1
hvd_34243;2
hvd_34369;1
hvd_34457;1
hvd_34484;1
hvd_35020;2
hvd_35100;1
hvd_40085;1
hvd_40763;2
hvd_40791;1
hvd_42737;1
hvd_43425;1
hvd_43676;1
hvd_45941;2
hvd_70324;1
hvd_70749;4
hvd_71125;1
hvd_82523;1
hvd_82677;2
hvd_82783;1
hvd_83180;1
hvd_85433;2
hvd_88074;1
hvd_92233;4
hvd_94076;3
hvd_95487;1
hvd_95714;1
hvd_96436;1
lurong;1
lushan;2
maoshan;1
nancheng;1
nanshan;1
nanyang;1
qi;1
qiangdao;2
qingmian;1
qingxi;1
shule;1
songshan;2
taishan;12
tongguan;3
wangwu;2
xichuan;1
yutian;1